date,hhid,pno,somipa_pid,part_sex,cnt_no,cnt_age,cnt_sex,cnt_type,cnt_rel,cnt_loc,cnt_plc,cnt_freq,cnt_dur,cnt_dist
26/04/2021 14:23,S00318,1,S00318_1,Female,8,62,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,107.6105309
26/04/2021 14:23,S00318,1,S00318_1,Female,8,30,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,110.7026377
26/04/2021 14:23,S00318,1,S00318_1,Female,8,45,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,109.8480417
26/04/2021 14:23,S00318,1,S00318_1,Female,8,40,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,110.1077538
26/04/2021 14:23,S00318,1,S00318_1,Female,8,50,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,108.915236
26/04/2021 14:23,S00318,1,S00318_1,Female,8,58,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,114.7228488
26/04/2021 14:23,S00318,1,S00318_1,Female,8,42,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,109.9009368
26/04/2021 14:23,S00318,1,S00318_1,Female,8,42,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,108.3606679
26/04/2021 14:33,S00318,2,S00318_2,Female,2,18,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,100.8314827
26/04/2021 14:33,S00318,2,S00318_2,Female,2,12,Female,Non-physical,Friend,Home,"Within
community",≥1 Weekly,5-15 mins,116.9625784
26/04/2021 14:39,S00318,8,S00318_8,Female,2,15,Female,Non-physical,Friend,"Mosque
Church","Within
community",Daily,>1-2 hrs,79.70763341
26/04/2021 14:39,S00318,8,S00318_8,Female,2,16,Female,Physical,"Other
relative","Mosque
Church","Within
community",≥1 Weekly,>1-2 hrs,105.058541
26/04/2021 14:46,S00318,3,S00318_3,Female,3,7,Female,Physical,Friend,Other,"Within
community",Daily,>2-4 hrs,134.3422336
26/04/2021 14:46,S00318,3,S00318_3,Female,3,9,Female,Non-physical,Friend,Other,"Within
community",Daily,>2-4 hrs,20.78254761
26/04/2021 14:46,S00318,3,S00318_3,Female,3,9,Female,Non-physical,Friend,Home,"Within
community",Daily,>1-2 hrs,116.1874947
26/04/2021 14:53,S00318,4,S00318_4,Male,1,21,Male,Physical,"Other
relative",Home,"Within
community",≥1 Weekly,>4 hrs,391.781113
26/04/2021 14:20,S00615,1,S00615_1,Male,6,61,Female,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,28.81417515
26/04/2021 14:20,S00615,1,S00615_1,Male,6,69,Male,Non-physical,Friend,Home,"Within
community",≥1 Weekly,>2-4 hrs,30.12651393
26/04/2021 14:20,S00615,1,S00615_1,Male,6,36,Male,Non-physical,"Random
people",Home,"Within
community",≥1 Monthly,>15-60 mins,201.6787219
26/04/2021 14:20,S00615,1,S00615_1,Male,6,11,Female,Non-physical,"Other
relative",Home,"Within
community",≥1 Monthly,>2-4 hrs,9.242748619
26/04/2021 14:20,S00615,1,S00615_1,Male,6,7,Female,Non-physical,"Other
relative",Home,"Within
community",≥1 Monthly,>2-4 hrs,33.235389
26/04/2021 14:20,S00615,1,S00615_1,Male,6,38,Female,Non-physical,"Other
relative",Home,"Within
community",≥1 Monthly,>4 hrs,36.32315931
26/04/2021 14:31,S00615,2,S00615_2,Female,4,69,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,6.001314062
26/04/2021 14:31,S00615,2,S00615_2,Female,4,11,Female,Physical,"Other
relative",Home,"Within
community",≥1 Monthly,>4 hrs,10.19128695
26/04/2021 14:31,S00615,2,S00615_2,Female,4,7,Female,Non-physical,"Other
relative",Home,"Within
community",≥1 Monthly,>2-4 hrs,10.451223
26/04/2021 14:31,S00615,2,S00615_2,Female,4,38,Female,Non-physical,"Other
relative",Home,"Within
community",≥1 Monthly,5-15 mins,20.64305179
26/04/2021 15:10,S00623,1,S00623_1,Female,7,52,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,654.0940365
26/04/2021 15:10,S00623,1,S00623_1,Female,7,19,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,610.7990285
26/04/2021 15:10,S00623,1,S00623_1,Female,7,17,Female,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,605.0854181
26/04/2021 15:10,S00623,1,S00623_1,Female,7,1.083333333,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,612.2239045
26/04/2021 15:10,S00623,1,S00623_1,Female,7,10,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,602.714028
26/04/2021 15:10,S00623,1,S00623_1,Female,7,7,Female,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,607.1121033
26/04/2021 15:10,S00623,1,S00623_1,Female,7,42,Female,Non-physical,Friend,Home,"Within
community",Daily,>2-4 hrs,578.4033608
26/04/2021 15:21,S00623,2,S00623_2,Female,7,52,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,611.2299083
26/04/2021 15:21,S00623,2,S00623_2,Female,7,38,Female,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,593.3478146
26/04/2021 15:21,S00623,2,S00623_2,Female,7,13,Male,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,610.2454258
26/04/2021 15:21,S00623,2,S00623_2,Female,7,10,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,607.5779828
26/04/2021 15:21,S00623,2,S00623_2,Female,7,10,Male,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,595.8789946
26/04/2021 15:21,S00623,2,S00623_2,Female,7,7,Female,Physical,"House
member",Home,"Within
community",Daily,>4 hrs,599.6699821
26/04/2021 15:21,S00623,2,S00623_2,Female,7,42,Female,Non-physical,Friend,Home,"Within
community",Daily,>2-4 hrs,579.3515805
26/04/2021 15:33,S00623,3,S00623_3,Male,8,52,Male,Non-physical,"House
member",Home,"Within
community",Daily,>1-2 hrs,596.1274583
26/04/2021 15:33,S00623,3,S00623_3,Male,8,38,Female,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,597.1508004
26/04/2021 15:33,S00623,3,S00623_3,Male,8,17,Female,Non-physical,"House
member",Home,"Within
community",Daily,>2-4 hrs,595.3152611
26/04/2021 15:33,S00623,3,S00623_3,Male,8,10,Male,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,594.8226772
26/04/2021 15:33,S00623,3,S00623_3,Male,8,7,Female,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,595.6067617
26/04/2021 15:33,S00623,3,S00623_3,Male,8,19,Male,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,593.5148879
26/04/2021 15:33,S00623,3,S00623_3,Male,8,13,Male,Non-physical,Friend,School,"Within
community",Daily,>15-60 mins,997.3069465
26/04/2021 15:33,S00623,3,S00623_3,Male,8,9,Male,Non-physical,Friend,School,"Within
community",Daily,>15-60 mins,990.461104
26/04/2021 15:41,S00623,5,S00623_5,Female,8,52,Male,Non-physical,"House
member",Home,"Within
community",Daily,>2-4 hrs,601.2378007
26/04/2021 15:41,S00623,5,S00623_5,Female,8,38,Female,Physical,"House
member",Home,"Within
community",Daily,>2-4 hrs,592.547732
26/04/2021 15:41,S00623,5,S00623_5,Female,8,19,Male,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,595.7607614
26/04/2021 15:41,S00623,5,S00623_5,Female,8,17,Female,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,598.8349432
26/04/2021 15:41,S00623,5,S00623_5,Female,8,13,Male,Non-physical,"House
member",Home,"Within
community",Daily,>4 hrs,600.6935421
