crf_ver,joining_key,EPAL_LOCATION_LONGITUDE,EPAL_LOCATION_LATITUDE
1,uuid:1198ba97-15e1-4d94-a0b6-d8576c421260,35.04927546,-15.77258144
1,uuid:fc6ab791-5387-41e7-91bc-166677157bfc,35.04926708,-15.77255208
1,uuid:5fa90fa7-64f9-46fd-b0b4-353b5c7e9849,35.04924797,-15.77257757
1,uuid:deb81cab-5d1f-4fd7-aad4-716cdf07b62c,35.04925165,-15.77257144
1,uuid:7d0a82e4-fd57-40e9-a890-128604eac62e,35.04925199,-15.77258531
1,uuid:5039897d-7341-4bd2-8b47-f6ac0883cb67,35.0492141,-15.77254789
1,uuid:c90b8f60-eb99-4616-a939-fe328fb67e99,35.04926138,-15.77256595
1,uuid:277e590a-2549-44dd-82cb-a9eed2c4278d,35.04924763,-15.77259564
1,uuid:fc907ccc-de33-452c-8fa1-1da3a7d81c88,35.05052168,-15.77262661
1,uuid:da12195d-9be8-4eac-8e4e-6fad5b40b60a,35.05083181,-15.77274535
1,uuid:516d7265-aa91-47c1-a96f-fbb871b90679,35.05062629,-15.77309833
1,uuid:9fd737e6-bffd-46b2-9b92-d59851edd47e,35.05082376,-15.77295701
1,uuid:fad7f524-8270-4517-ad85-1cbec1f6eae1,35.05106349,-15.77282795
1,uuid:2ed418b4-7fbc-43da-8094-167b0bb65c90,35.05007979,-15.77321739
1,uuid:6e96450e-b358-4b18-8b43-14b347b3b2c5,35.05092233,-15.77292474
1,uuid:fa561418-9dd8-455d-b156-f22eefebb992,35.04687622,-15.77527428
1,uuid:ef69899c-bccd-4bf2-af76-d208b7c50ab8,35.04863977,-15.77326514
1,uuid:83c89189-e82b-4cbd-b269-e042d83d186f,35.04867431,-15.77329353
1,uuid:a9c6135c-f344-493a-8678-c93834315848,35.04677832,-15.77255531
1,uuid:91820a84-5ba0-4827-830b-75dc83270d67,35.04850935,-15.77339549
1,uuid:fa1a23bb-a3c7-4f94-a23b-709fd15f27b8,35.04869778,-15.77327676
1,uuid:72bc44d1-bc3b-4475-a203-2476726348a3,35.04866794,-15.77319448
1,uuid:dcde796f-186c-44a6-be75-db911043c443,35.04846744,-15.77338678
1,uuid:1147ea56-da0f-4298-98ab-58778d1da5c9,35.04852377,-15.77343582
1,uuid:5b2a287d-7747-4115-b427-86007df7e25d,35.04852645,-15.77343324
1,uuid:44b636d3-efe0-4b0f-b86c-8d322f3d3a75,35.04861195,-15.77348487
1,uuid:c0d1fd56-ab12-4808-90eb-2a1ec73f7bd7,35.04177567,-15.77464415
1,uuid:1da6a12c-094a-4784-a9e4-e2588994ed12,35.04215118,-15.77448702
1,uuid:8ea71de3-ff3d-4cac-bfdd-b3faae6d684f,35.04220214,-15.77447153
1,uuid:bc6b0d4c-1a01-485f-be1e-517d3b2427a2,35.04212704,-15.77444572
1,uuid:5d910a77-3b4e-4e9c-bc67-e1a9e2b22ab8,35.04222628,-15.77447669
1,uuid:9bce5bd1-e84f-4d47-9149-646448214565,35.04219409,-15.77451541
1,uuid:93c6c290-5551-43b4-9928-f8c50df0b72d,35.0424784,-15.77454122
1,uuid:0755e629-864f-4ebc-b72a-175248d85dfc,35.04215922,-15.77453348
1,uuid:1f775134-1abc-4fcc-8310-3f899cff460c,35.0423282,-15.77452057
1,uuid:bacc38e2-89ba-4d68-9a9c-9bca7da2a983,35.04216459,-15.77451799
1,uuid:940123c5-9612-4821-8905-bf1e4a99df1d,35.04220214,-15.77456187
1,uuid:9221dadf-16c1-448e-a27b-98ce962b8539,35.04230943,-15.77454122
1,uuid:d00cce2f-c6da-44dd-b971-6a8a17ddcd13,35.04226651,-15.77451799
1,uuid:5baf6b96-a800-4231-8412-a1fc90c291db,35.04245695,-15.77449734
1,uuid:705b4594-df62-4f14-8d7f-8454356106a9,35.04227456,-15.77441765
1,uuid:cdad6d31-3dd8-41ae-85ac-c3a38630c7d3,35.04226919,-15.77443539
1,uuid:0496afa2-de49-42b5-8139-473fdd5dd461,35.04227724,-15.774397
1,uuid:127d2ebe-5650-43b1-b1c0-3309a7ec16ae,35.0422826,-15.77439958
1,uuid:ded2cc5b-ca26-4a57-be24-18d85959b8c9,35.04229333,-15.77447153
1,uuid:78521fda-7814-40f9-9aeb-b704bbf6d86a,35.04230943,-15.77445604
1,uuid:ec19fb1d-678f-4398-9db5-cdb76bb12e8d,35.04222896,-15.78042561
1,uuid:02d7728d-4643-4858-a8f5-a513506996aa,35.04223432,-15.78035334
1,uuid:e3e3ad78-f234-47a1-923d-c65024538768,35.0422236,-15.7744099
1,uuid:a0344d76-7b8c-4f7f-873b-6d66ed9169c4,35.04231211,-15.77443023
1,uuid:f75f122d-db28-436a-8252-a5a7e7dcb1ca,35.04226919,-15.77438151
1,uuid:0b308f8e-886c-49c0-8acb-da013c40a4d3,35.04225042,-15.77442507
1,uuid:c0f211ee-c634-4d5c-a9a4-bd8d8e78d705,35.04224505,-15.77447411
1,uuid:be4cfc9c-d112-4735-9f60-b4538b59c803,35.04243817,-15.77436602
1,uuid:35e9d329-1645-485f-8d52-c170e03600c6,35.04234966,-15.77440732
1,uuid:285934af-30f2-4c35-9274-fccdc6ffcfb3,35.04237648,-15.7744099
1,uuid:75e3f009-6a4a-4d54-b4f7-8ed63d8e51f8,35.04583452,-15.77366845
1,uuid:97ffa11c-bce6-472a-8c85-38880d867aec,35.0456072,-15.77374008
1,uuid:280db7c0-bae8-49f9-9406-08c30110be6d,35.04772414,-15.77236688
1,uuid:c22d30f8-5bb0-4667-aad6-e31845e7027f,35.04859284,-15.77246238
1,uuid:2871b205-ef20-481b-9f7f-7928d6121ce4,35.04843961,-15.77237075
1,uuid:fe22b5f1-6d7f-46f5-95cb-1d0bceff61c6,35.04788306,-15.77278052
1,uuid:b3675bfe-0c07-4cb3-990b-293ef77bdb35,35.04799034,-15.77284247
1,uuid:32019edf-3e0e-4c14-ad38-861029832087,35.04800644,-15.77287602
1,uuid:e91e49b7-f33f-430e-a50b-cdf9ada455a2,35.04811641,-15.77293023
1,uuid:48cb746b-a033-4963-98b4-c568638b0cd4,35.04823174,-15.77301025
1,uuid:c5572829-defc-43e5-8cf9-cbab99cedbab,35.04779991,-15.77284247
1,uuid:98d8cc81-2674-4444-b556-5e499c8e34c2,35.04833434,-15.77249465
1,uuid:0af6d6fe-fa48-406b-ac7a-19f77348b898,35.04860457,-15.77259499
1,uuid:cb2a0e3d-d869-4d2d-a380-aadf6dccd92e,35.0479662,-15.7728657
1,uuid:f3c1a9ff-ce9b-40d4-a247-44816705fb79,35.04795816,-15.77284247
1,uuid:64344b8a-d0aa-4f7c-878d-01262dc269c1,35.04785623,-15.77264113
1,uuid:9464df84-4bb8-400a-9ae5-e56d71bb954a,35.0478616,-15.77269792
1,uuid:25054641-908f-438f-b1d6-0fc8bd76c126,35.04795279,-15.77285021
1,uuid:ee5de5f8-1516-424c-b8af-d8c2c1898027,35.04801717,-15.77288635
1,uuid:b444f779-cca7-4224-888c-05a80c2ff2af,35.04821565,-15.77278052
1,uuid:e59d5dc1-b245-4211-8d26-538ce560c90c,35.04845437,-15.77306187
1,uuid:86a16465-dbbf-4232-9b2c-ad46ed721d1f,35.04941493,-15.77387043
1,uuid:41dc642f-b66d-4811-9651-b23e7e53ca0e,35.04429292,-15.77385785
1,uuid:2feb0db3-1c7d-4dd8-a122-cdfa2d9941f0,35.0524113,-15.77402724
1,uuid:ea449bd1-afbd-41c0-88f6-e977036698f7,35.05251288,-15.77401434
1,uuid:0abc0e4d-c645-49fd-8e70-ed24930fb9e1,35.05248606,-15.77398852
1,uuid:1b352cfe-8d15-4a5a-83a5-57b2c5d3fba5,35.04794475,-15.77285279
1,uuid:5272dccd-a6f0-43e1-a3b9-a51bc4749b7c,35.04996445,-15.7725737
1,uuid:18df82f9-990b-474d-affe-c8f30c3df16f,35.03660571,-15.76573626
1,uuid:13473077-358a-4cf2-a8ee-abcab03554fc,35.04992355,-15.77256111
1,uuid:db230359-1793-48a7-ab1c-1bf22d4be664,35.03667142,-15.76564075
1,uuid:07a820cd-f8ee-407c-b5c1-7eb075995d35,35.04907329,-15.76954107
1,uuid:99c3448a-bb4e-4644-b401-41e4276bcf2e,35.05005062,-15.77256079
1,uuid:3a4b7225-5d82-4980-9a2f-2c7057421980,35.04969422,-15.77207972
1,uuid:ed1e27bb-2ad9-4bd3-b92f-f91597ba27cf,35.04993293,-15.77254401
1,uuid:646a693e-5780-40de-950d-13b744589404,35.04989002,-15.77253272
1,uuid:d246b61f-b057-4105-881c-53a492cc9f6a,35.04992355,-15.7725453
1,uuid:4d33eb19-42f7-4cf0-bb19-4290539e33fb,35.04996512,-15.77249013
1,uuid:a245eec9-8f5f-461e-8a2d-18ef18f53edf,35.05006805,-15.77258789
1,uuid:3f649b7c-b860-46b5-8ecf-7ae0a023735a,35.05002379,-15.77256466
1,uuid:b8a0cf61-1f90-4cad-ab6c-630a40cf2082,35.04953999,-15.77324094
1,uuid:221bb07a-fa21-4ac4-a9c9-9929ffcbf362,35.04966069,-15.77267953
1,uuid:265bb7ee-88d7-48c4-8dfe-3d652c98fa78,35.04930966,-15.77423858
1,uuid:daa82b87-2d1f-4437-bf79-2bddbfcaacf2,35.04928149,-15.77424277
1,uuid:73ea7844-ed53-4db5-8973-6a371ab7cc70,35.04930798,-15.77422954
1,uuid:d38f54cd-9f13-4f1a-893f-9f05869b2313,35.04942097,-15.7739569
1,uuid:9aafbc68-bde5-460b-8664-385882d50054,35.04942734,-15.77397465
1,uuid:2172e22a-717c-4d4c-aee9-243b224946c5,35.04941326,-15.77397013
1,uuid:2527460c-5389-422d-8637-af809c9b5848,35.04944175,-15.77395884
1,uuid:30ff79a2-be53-4897-9ec8-2b1003ffd5fa,35.04941426,-15.77397175
1,uuid:a4460494-d58c-468d-a429-7ea555ea407a,35.04943606,-15.77409371
1,uuid:d0144d9f-b639-4187-a4e9-082f9376f2d4,35.04945584,-15.77407758
1,uuid:69c1f950-c473-4383-be23-a7eea381ddb9,35.04946321,-15.77408338
1,uuid:4043f801-10d0-4cd5-9371-20648ba41dcd,35.0494783,-15.77408371
1,uuid:d78419a5-0f97-44ba-b679-fbdb4ebfb062,35.0494612,-15.77407758
1,uuid:f6ff9544-d848-4250-a72f-92374ee509ba,35.04943807,-15.77407628
1,uuid:6ef69076-79ad-4806-bfbf-90e8868eaa45,35.04945584,-15.77409048
1,uuid:0f8d5680-4144-41ba-aa5b-9216c2b07c02,35.04934352,-15.77398594
1,uuid:e1ad88be-07ae-48ff-a0d6-c5f5c4f733b4,35.0492312,-15.77395787
1,uuid:2925e972-e072-401c-9079-d4f655f194b1,35.04947629,-15.77408855
1,uuid:0f166a7f-d466-4b0c-ba40-814fe2073b48,35.04948903,-15.77405305
1,uuid:cf086779-b5b7-42fd-9d81-8f1ce777ae39,35.04946422,-15.77405725
1,uuid:5e97a35d-4676-4f8e-9ee4-16329d082da8,35.04947562,-15.77404886
1,uuid:ba6a214a-7625-49bd-a045-84be27d7f7f3,35.04947294,-15.77403724
1,uuid:7c21ee11-f569-40a2-ab2e-65b55e9c0b57,35.04947428,-15.77402853
1,uuid:a0f6025a-69d9-4558-b084-52ad712e7607,35.04947796,-15.77404983
1,uuid:ea7996e6-c6c0-4121-b56c-28d72b385dc2,35.04948065,-15.77402434
1,uuid:0ca99835-ac75-4b97-81de-4b815da0b2ee,35.04934017,-15.77422696
1,uuid:b0d9a3aa-2d66-48ef-8223-42612d9661b0,35.04937369,-15.77427181
1,uuid:67e6f726-4539-40d8-8d9e-2063039c630d,35.04931871,-15.77423567
1,uuid:fa2f15da-ffc5-4ece-874f-772630248595,35.04929457,-15.77423471
1,uuid:beb078bd-afa6-4392-a477-a77b4a7f1c81,35.04933648,-15.77425213
1,uuid:90f6f28e-fc12-4560-81b1-8445c9b9ac7b,35.04748542,-15.772353
1,uuid:d43a3ba5-6ca1-4979-b478-32c842eae53d,35.04748508,-15.77232493
1,uuid:a2314035-839e-4272-ba21-2442e5013a9b,35.04750621,-15.77233397
1,uuid:9d06c511-200a-4761-b6f0-d35cdbdc9652,35.04751224,-15.77232719
1,uuid:9aeb9b31-0ce3-401b-8a82-4a869b696c1a,35.04965365,-15.7751478
1,uuid:e4a67cec-42b0-40a9-b075-737400662573,35.04971433,-15.77507004
1,uuid:3e5030d2-3e4f-4edb-ad76-5dbe0ea89639,35.04963789,-15.7751649
1,uuid:54419f0b-8b92-4c09-9075-8630c8c9815e,35.049656,-15.77505359
1,uuid:31df1c48-5251-4903-ad6a-66c150eb3147,35.04718434,-15.77131793
1,uuid:cec59694-cc54-4c3b-be1d-c6a09316fb0b,35.04715484,-15.77183611
1,uuid:e040cb39-8e32-47b4-88ea-8c90e80f242a,35.04287973,-15.76491734
1,uuid:0576673a-cc22-4317-b961-33337bf4aabb,35.04281167,-15.7650606
1,uuid:3ab3b21e-fd68-4ea7-869d-bc8b2cf57e75,35.04282206,-15.76520902
1,uuid:576183b0-f1dd-44df-9f41-9b5dc82b389a,35.04285023,-15.76501059
1,uuid:f44959c5-d150-4fb5-9fd0-09a537ad69e4,35.04284855,-15.76503769
1,uuid:9fbc5274-10d8-463f-81af-b32801e30ab3,35.04286196,-15.76507189
1,uuid:b27d74f4-48bb-4b29-b1d4-67844a166802,35.04750654,-15.77233461
1,uuid:5605e621-b418-4651-b77b-f8f77a4dfe5c,35.04751626,-15.77233332
1,uuid:06a6163e-e2dd-4a42-8bda-f90a57011906,35.04751459,-15.77230977
1,uuid:bc94999f-5d18-4d22-9aaa-be5779f4bb1b,35.04968114,-15.77514845
1,uuid:3e041ea2-8a5a-4860-a675-bb52a79fa67a,35.04971366,-15.77515974
1,uuid:38644799-8780-412e-94c4-5dda769492a9,35.04966874,-15.77520717
1,uuid:ed7fd43d-7a2b-4676-8584-518e75ac74de,35.04968483,-15.77516426
1,uuid:e16589d2-1d6e-43b0-8acd-43a32c0753a5,35.0477,-15.77387527
1,uuid:bbf76fee-4a05-4218-a45d-e3a5b3428447,35.04770804,-15.7738443
1,uuid:aab23057-3588-4a76-b07b-c06a90d81912,35.04765037,-15.77387656
