"","scale_hhid","scale_pid","hhid","date","cluster","age","sex","room","sroom","gas","electric","firewood","charcoal","kerosene","diesel","indoor","vent","settle","nlive","nleft","ndied","smoke"
"1","H0100130","P0100111","S00466","24apr2021",1,37,2,3,2,2,2,2,1,2,2,2,NA,9,5,0,0,2
"2","H0100077","P0100105","S00177","24apr2021",1,22,2,2,1,2,2,2,1,2,2,1,1,9,4,0,0,2
"3","H0100070","P0100095","S00169","24apr2021",1,21,2,3,2,2,2,1,1,2,2,2,NA,9,5,0,0,2
"4","H0100043","P0100081","S00615","24apr2021",1,68,1,4,2,2,2,2,1,2,2,1,1,9,4,1,0,2
"5","H0100052","P0100080","S00763","24apr2021",1,33,2,2,1,2,2,2,1,2,2,1,1,1,5,0,0,2
"6","H0100047","P0100064","S00623","24apr2021",1,37,2,4,2,2,2,2,1,2,2,1,1,9,7,0,0,2
"7","H0100065","P0100087","S00771","24apr2021",1,76,1,3,1,2,2,2,1,2,2,1,2,9,2,0,0,2
"8","H0100087","P0100203","S00318","24apr2021",1,60,2,3,3,2,2,2,1,2,2,1,1,9,7,0,0,2
"9","H0100006","P0100033","S00110","26apr2021",1,67,1,3,2,2,1,2,1,2,2,1,1,9,7,0,0,2
"10","H0100027","P0100010","S00474","26apr2021",1,33,2,5,3,2,1,2,1,2,2,2,NA,9,6,0,0,2
"11","H0100036","P0100054","S00631","26apr2021",1,56,2,3,2,2,2,1,2,2,2,2,NA,9,6,0,0,1
"12","H0100022","P0100023","S00185","27apr2021",1,65,1,4,3,2,2,2,1,2,2,2,NA,4,4,0,0,2
"13","H0100004","P0100006","S00193","27apr2021",1,39,2,1,1,2,2,1,1,2,2,1,1,9,10,0,0,2
"14","H0100075","P0100101","S00201","27apr2021",1,63,2,3,2,2,2,2,1,2,2,2,NA,4,4,0,0,2
"15","H0100093","P0100205","S01449","27apr2021",1,54,2,5,3,2,2,2,1,2,2,2,NA,9,4,0,0,2
"16","H0100109","P0100131","S00482","27apr2021",1,26,2,3,2,2,2,2,1,2,2,1,1,3,4,0,0,2
"17","H0100023","P0100026","S00789","27apr2021",1,72,1,6,3,2,2,2,1,2,2,1,1,9,7,0,0,2
"18","H0100094","P0100209","S00649","27apr2021",1,53,1,4,2,2,2,1,1,2,2,2,NA,9,6,0,0,2
"19","H0100113","P0100138","S00797","27apr2021",1,28,2,6,3,2,2,2,1,2,2,1,1,9,3,0,0,2
"20","H0100015","P0100278","S00805","27apr2021",1,37,2,4,2,2,2,2,1,2,2,1,2,7,6,0,0,2
"21","H0100009","P0100015","S00656","28apr2021",1,43,2,4,3,2,2,1,1,2,2,2,NA,9,6,0,0,1
"22","H0100024","P0100029","S00334","28apr2021",1,37,2,4,3,2,2,1,2,2,2,1,1,8,6,0,0,1
