s02cl_id,hh_id,ind_id,s07sex,s09age,d12sumres,gps_lat,gps_lng,gps_alt,gps_acc,dup
1,H0100001,P0100001,2,35,3,-15.77435632,35.04881158,1144.4000244141,5,0
1,H0100002,P0100002,2,32,3,-15.77438372,35.04878983,1140.5,8,0
1,H0100003,P0100004,2,43,3,-15.77432669,35.04804205,1139.6999511719,11,0
1,H0100003,P0100005,2,20,3,-15.77432669,35.04804205,1139.6999511719,11,0
1,H0100004,P0100006,2,39,2,-15.77459177,35.04837534,1143,5,0
1,H0100005,P0100008,1,59,5,-15.77430657,35.04767477,1141.5,7,0
1,H0100006,P0100033,1,67,3,-15.77389202,35.0477394,1133.3000488281,10,0
1,H0100006,P0100009,2,58,3,-15.77389202,35.0477394,1133.3000488281,10,0
1,H0100007,P0100011,2,36,3,-15.77385277,35.04803699,1131.5999755859,13,0
1,H0100008,P0100013,1,21,3,-15.77483642,35.04742959,1133.1999511719,9,0
1,H0100008,P0100014,2,24,3,-15.77483642,35.04742959,1133.1999511719,9,0
1,H0100009,P0100015,2,43,2,-15.77508741,35.0475972,1136.5999755859,5,0
1,H0100010,P0100017,2,32,3,-15.77156708,35.04832471,1128.0999755859,4,0
1,H0100010,P0100018,2,25,5,-15.77156708,35.04832471,1128.0999755859,4,0
1,H0100011,P0100019,2,20,3,-15.77136634,35.04807317,1130.3000488281,5,0
1,H0100012,P0100020,2,21,3,-15.77163356,35.04788105,1130.6999511719,10,0
1,H0100013,P0100021,2,27,3,-15.77146865,35.04779402,1128,5,0
1,H0100014,P0100276,2,21,3,-15.77120935,35.04808929,1127.6999511719,5,0
1,H0100014,P0100275,1,25,3,-15.77120935,35.04808929,1127.6999511719,5,0
1,H0100015,P0100278,2,37,3,-15.77125049,35.0484488,1130.8000488281,5,0
1,H0100016,P0100280,1,22,3,-15.7712314,35.04855037,1135.5999755859,5,0
1,H0100016,P0100279,2,23,3,-15.7712314,35.04855037,1135.5999755859,5,0
1,H0100022,P0100023,1,65,3,-15.77432669,35.04902648,1140.6999511719,25,0
1,H0100022,P0100022,2,56,3,-15.77432669,35.04902648,1140.6999511719,25,0
1,H0100023,P0100026,1,72,3,-15.7742288,35.04844749,1138.6999511719,9,0
1,H0100023,P0100024,1,27,3,-15.7742288,35.04844749,1138.6999511719,9,0
1,H0100023,P0100052,1,30,5,-15.7742288,35.04844749,1138.6999511719,9,0
1,H0100023,P0100025,1,21,3,-15.7742288,35.04844749,1138.6999511719,9,0
1,H0100023,P0100003,1,19,3,-15.7742288,35.04844749,1138.6999511719,9,0
1,H0100024,P0100029,2,37,2,-15.77434414,35.0482057,1138,4.5509996,0
1,H0100024,P0100051,1,44,3,-15.77434414,35.0482057,1138,4.5509996,0
1,H0100025,P0100031,2,20,3,-15.7744633,35.04858578,1146,10.6189995,0
1,H0100025,P0100007,2,47,3,-15.7744633,35.04858578,1146,10.6189995,0
1,H0100025,P0100030,2,22,4,-15.7744633,35.04858578,1146,10.6189995,0
1,H0100026,P0100050,2,20,3,-15.77429232,35.04752692,1129,4.5509996,0
1,H0100026,P0100032,2,36,3,-15.77429232,35.04752692,1129,4.5509996,0
1,H0100027,P0100035,1,21,3,-15.77379764,35.04768905,1132,4.5509996,0
1,H0100027,P0100034,1,19,3,-15.77379764,35.04768905,1132,4.5509996,0
1,H0100027,P0100010,2,33,2,-15.77379764,35.04768905,1132,4.5509996,0
1,H0100028,P0100036,2,18,3,-15.77387807,35.04730079,1128,13.653,0
1,H0100028,P0100012,2,36,3,-15.77387807,35.04730079,1128,13.653,0
1,H0100029,P0100037,2,20,3,-15.774796,35.04744302,1130,4.5509996,0
1,H0100030,P0100016,1,26,3,-15.77477451,35.04757268,1134,4.5509996,0
1,H0100030,P0100038,2,30,3,-15.77477451,35.04757268,1134,4.5509996,0
1,H0100031,P0100039,2,29,3,-15.7715732,35.0484115,1109,4.5509996,0
1,H0100032,P0100041,2,22,3,-15.77142453,35.04827933,1125,6.068,0
1,H0100032,P0100040,2,46,3,-15.77142453,35.04827933,1125,6.068,0
1,H0100033,P0100042,2,24,3,-15.77187169,35.04764115,1131,9.101998999999999,0
1,H0100034,P0100043,1,40,3,-15.77118701,35.04801801,1120,10.6189995,0
1,H0100034,P0100044,2,28,3,-15.77118701,35.04801801,1120,10.6189995,0
1,H0100035,P0100277,1,26,5,-15.7710299,35.04792368,1157,4.5509996,0
1,H0100035,P0100045,2,22,4,-15.7710299,35.04792368,1157,4.5509996,0
1,H0100036,P0100046,1,18,3,-15.77126496,35.04839106,1134,4.5509996,0
1,H0100036,P0100047,1,21,3,-15.77126496,35.04839106,1134,4.5509996,0
1,H0100036,P0100054,2,56,2,-15.77126496,35.04839106,1134,4.5509996,0
1,H0100036,P0100048,2,20,3,-15.77126496,35.04839106,1134,4.5509996,0
1,H0100037,P0100053,1,35,3,-15.77134926,35.04857075,1124,4.5509996,0
1,H0100037,P0100049,2,33,3,-15.77134926,35.04857075,1124,4.5509996,0
1,H0100043,P0100082,2,62,3,-15.77342615,35.04842917,1132.1999511719,39,0
1,H0100043,P0100263,2,28,3,-15.77342615,35.04842917,1132.1999511719,39,0
1,H0100043,P0100081,1,68,3,-15.77342615,35.04842917,1132.1999511719,39,0
1,H0100043,P0100264,2,26,3,-15.77342615,35.04842917,1132.1999511719,39,0
1,H0100046,P0100273,2,26,3,-15.77304527,35.04781378,1125,110,0
1,H0100047,P0100064,2,37,3,-15.77316663,35.04768524,1135,42,0
1,H0100049,P0100067,2,25,3,-15.77293192,35.04769398,1129.1999511719,65,0
1,H0100051,P0100073,2,19,3,-15.77314713,35.04808073,1126.5,5,0
1,H0100051,P0100070,2,46,2,-15.77314713,35.04808073,1126.5,5,0
1,H0100051,P0100074,2,38,3,-15.77314713,35.04808073,1126.5,5,0
1,H0100052,P0100078,1,19,3,-15.77317272,35.04806449,1139.5999755859,21,0
1,H0100052,P0100077,2,19,3,-15.77317272,35.04806449,1139.5999755859,21,0
1,H0100052,P0100080,2,33,2,-15.77317272,35.04806449,1139.5999755859,21,0
