s02cl_id,hh_id,ind_id,s07sex,s09age,d12sumres
1,H0100001,P0100001,2,35,3
1,H0100002,P0100002,2,32,3
1,H0100023,P0100003,1,19,3
1,H0100003,P0100004,2,43,3
1,H0100003,P0100005,2,20,3
1,H0100004,P0100006,2,39,2
1,H0100025,P0100007,2,47,3
1,H0100005,P0100008,1,59,5
1,H0100006,P0100009,2,58,3
1,H0100027,P0100010,2,33,2
1,H0100007,P0100011,2,36,3
1,H0100028,P0100012,2,36,3
1,H0100008,P0100013,1,21,3
1,H0100008,P0100014,2,24,3
1,H0100009,P0100015,2,43,2
1,H0100030,P0100016,1,26,3
1,H0100010,P0100017,2,32,3
1,H0100010,P0100018,2,25,5
1,H0100011,P0100019,2,20,3
1,H0100012,P0100020,2,21,3
1,H0100013,P0100021,2,27,3
1,H0100022,P0100022,2,56,3
1,H0100022,P0100023,1,65,3
1,H0100023,P0100024,1,27,3
1,H0100023,P0100025,1,21,3
1,H0100023,P0100026,1,72,3
1,H0100024,P0100029,2,37,2
1,H0100025,P0100030,2,22,4
1,H0100025,P0100031,2,20,3
1,H0100026,P0100032,2,36,3
1,H0100006,P0100033,1,67,3
1,H0100027,P0100034,1,19,3
1,H0100027,P0100035,1,21,3
1,H0100028,P0100036,2,18,3
1,H0100029,P0100037,2,20,3
1,H0100030,P0100038,2,30,3
1,H0100031,P0100039,2,29,3
1,H0100032,P0100040,2,46,3
1,H0100032,P0100041,2,22,3
1,H0100033,P0100042,2,24,3
1,H0100034,P0100043,1,40,3
1,H0100034,P0100044,2,28,3
1,H0100035,P0100045,2,22,4
1,H0100036,P0100046,1,18,3
1,H0100036,P0100047,1,21,3
1,H0100036,P0100048,2,20,3
1,H0100037,P0100049,2,33,3
1,H0100026,P0100050,2,20,3
1,H0100024,P0100051,1,44,3
1,H0100023,P0100052,1,30,5
1,H0100037,P0100053,1,35,3
1,H0100036,P0100054,2,56,2
1,H0100096,P0100057,2,23,3
1,H0100148,P0100059,1,19,5
1,H0100099,P0100060,1,27,3
1,H0100089,P0100061,1,33,5
1,H0100152,P0100062,1,21,3
1,H0100152,P0100063,1,22,3
1,H0100047,P0100064,2,37,3
1,H0100049,P0100067,2,25,3
1,H0100051,P0100070,2,46,2
1,H0100051,P0100073,2,19,3
1,H0100051,P0100074,2,38,3
1,H0100052,P0100075,2,20,3
1,H0100052,P0100076,2,22,3
1,H0100052,P0100077,2,19,3
1,H0100052,P0100078,1,19,3
1,H0100052,P0100079,2,24,3
1,H0100052,P0100080,2,33,2
1,H0100043,P0100081,1,68,3
1,H0100043,P0100082,2,62,3
1,H0100064,P0100085,2,48,3
1,H0100064,P0100086,2,28,3
1,H0100065,P0100087,1,76,3
1,H0100066,P0100088,2,46,2
1,H0100067,P0100089,2,25,3
1,H0100069,P0100092,1,49,2
1,H0100070,P0100093,2,38,3
1,H0100070,P0100094,1,46,3
1,H0100070,P0100095,2,21,3
1,H0100071,P0100096,2,31,2
1,H0100072,P0100097,1,37,3
1,H0100074,P0100099,2,39,5
1,H0100074,P0100100,2,20,5
1,H0100075,P0100101,2,63,2
1,H0100075,P0100102,2,33,3
1,H0100076,P0100103,1,38,5
1,H0100077,P0100104,1,33,2
1,H0100077,P0100105,2,22,2
1,H0100127,P0100106,1,53,5
1,H0100127,P0100107,1,19,3
1,H0100127,P0100108,1,21,3
1,H0100128,P0100109,2,37,3
